KILLER,VICTIM,UHC,METHOD,TIME,COMMENT,,
IntenseYogurt,XmasGoose,33,shot,3:51:04,,,
YungSpesh,IntenseYogurt,33,slew,3:54:53,,,
Shananalovesdem,YungSpesh,33,shot,3:55:06,,,
brassline,Shananalovesdem,33,slew,3:56:05,,,
Koi_Pond,_pau1,34,slew,1:48:42,,,
icedrake25,meddi3,34,slew,1:49:10,,,
mikecherry,belundun,34,slew,1:49:20,,,
Shananalovesdem,mikecherry,34,slew,1:49:31,,,
Shananalovesdem,Albertc5555,34,slew,1:49:59,,,
1ottsco,mrdagger17,34,slew,2:59:45,,,
Wolfzx99,ToaNuparu,34,slew,3:00:33,,,
1ottsco,Wolfzx99,34,burned,3:01:06,,,
1ottsco,seanm105,34,slew,3:03:49,,,
Dunkersplatt,1ottsco,34,lava,3:47:59,,,
XmasGoose,icedrake25,34,slew,3:56:56,,,
XmasGoose,Shananalovesdem,34,slew,3:57:02,,,
XmasGoose,Dunkersplatt,34,slew,3:57:11,,,
IntenseYogurt,St33n3r,34,shot,3:59:06,,,
XmasGoose,Koi_Pond,34,slew,3:59:24,,,
XmasGoose,brassline,34,slew,4:01:02,,,
XmasGoose,YungSpesh,34,slew,4:01:10,,,
XmasGoose,Meyeravi,34,slew,4:01:24,,,
XmasGoose,IntenseYogurt,34,slew,4:02:01,,,
,Meyeravi,35,lava,3:06:38,,,
1ottsco,YungSpesh,35,shot,3:34:19,,,
1ottsco,xcatieladyx,35,lava,3:34:35,,,
1ottsco,Dunkersplatt,35,shot,3:34:39,,,
Inspyur,1ottsco,35,shot,3:34:42,,,
Shananalovesdem,Inspyur,35,shot,3:35:11,,,
ZenStryk,DemonicFish,35,shot,3:35:19,,,
XmasGoose,Wolfzx99,35,shot,4:00:08,,,
Shananalovesdem,ToaNuparu,35,shot,4:02:17,,,
ZenStryk,IntenseYogurt,35,shot,4:03:54,,,
ZenStryk,XmasGoose,35,shot,4:04:34,,,
seanm105,belundun,35,shot,4:06:40,,,
ZenStryk,seanm105,35,shot,4:07:50,,,
mrdagger17,Shananalovesdem,35,shot,4:07:54,,,
ZenStryk,mrdagger17,35,shot,4:09:46,,,
icedrake25,xcatieladyx,36,slew,1:49:34,,,
,brassline,36,lava,2:31:48,,,
XmasGoose,Koi_Pond,36,shot,3:10:24,,,
