PLAYER,UHC,TEAM,COMMENT,,,,,,,
SKILLVINIK,20,UDel1,,,,,,,,
kanighits,20,UDel1,,,,,,,,
XmasGoose,20,UDel1,,,,,,,,
1ottsco,20,UDel1,,,,,,,,
mikecherry,20,Cherry,,,,,,,,
Shananalovesdem,20,Bconn,,,,,,,,
mmnickymm,20,UDel1,,,,,,,,
belundun,20,Bconn,,,,,,,,
YungSpesh,20,Bconn,,,,,,,,
mrdagger17,20,Evil,,,,,,,,
IntenseYogurt,20,Evil,,,,,,,,
ninjaturtle103,20,Meatloaf,,,,,,,,
Albertc5555,20,Cherry,,,,,,,,
DezBFrag,20,Meatloaf,,,,,,,,
meddi3,20,Cherry,,,,,,,,
Wolfzx99,20,Evil,,,,,,,,
EldritchKoi,20,Meatloaf,,,,,,,,
YoFumoMarihuana,20,Meatloaf,,,,,,,,
seanm105,20,Evil,,,,,,,,
seanm105,21,Evil,,,,,,,,
Wolfzx99,21,Evil,,,,,,,,
YoFumoMarihuana,21,Meatloaf,,,,,,,,
Albertc5555,21,Cherry,,,,,,,,
XmasGoose,21,UDel1,,,,,,,,
Tran_1230,21,Evil,,,,,,,,
ToaNuparu,21,Evil,,,,,,,,
meddi3,21,Cherry,,,,,,,,
mrdagger17,21,Evil,,,,,,,,
mikecherry,21,Cherry,,,,,,,,
mmnickymm,21,UDel1,,,,,,,,
ninjaturtle103,21,Meatloaf,,,,,,,,
TheUltimateJon,21,Meatloaf,,,,,,,,
kanighits,21,UDel1,,,,,,,,
Overtray,21,BC,,,,,,,,
YungSpesh,21,BC,,,,,,,,
St33n3r,21,BC,,,,,,,,
Dunkersplatt,21,BC,,,,,,,,
ToaNuparu,22,Cherry,,,,,,,,
mikecherry,22,Cherry,,,,,,,,
Wolfzx99,22,Evil,,,,,,,,
Albertc5555,22,Cherry,,,,,,,,
Tran_1230,22,Uconn,,,,,,,,
Dunkersplatt,22,BC,,,,,,,,
YungSpesh,22,BC,,,,,,,,
Shananalovesdem,22,Uconn,,,,,,,,
belundun,22,Uconn,,,,,,,,
ninjaturtle103,22,Meatloaf,,,,,,,,
mmnickymm,22,Beast,,,,,,,,
SKILLVINIK,22,Cherry,,,,,,,,
1ottsco,22,Beast,,,,,,,,
XmasGoose,22,Beast,,,,,,,,
babar103,22,Meatloaf,,,,,,,,
xcatieladyx,22,BC,,,,,,,,
DezBFrag,22,Meatloaf,,,,,,,,
TheUltimateJon,22,Meatloaf,,,,,,,,
St33n3r,22,BC,,,,,,,,
seanm105,22,Evil,,,,,,,,
mrdagger17,22,Evil,,,,,,,,
Meyeravi,22,BC,,,,,,,,
IntenseYogurt,22,Evil,,,,,,,,
Albertc5555,23,Cherry,,,,,,,,
mmnickymm,23,Beast,,,,,,,,
ToaNuparu,23,Cherry,,,,,,,,
Tran_1230,23,Cherry,,,,,,,,
mikecherry,23,Cherry,,,,,,,,
1ottsco,23,Beast,,,,,,,,
yuormomlol,23,Beast,,,,,,,,
YungSpesh,23,Beast,,,,,,,,
icedrake25,23,Uconn,,,,,,,,
Wolfzx99,23,Evil,,,,,,,,
IntenseYogurt,23,Evil,,,,,,,,
belundun,23,Uconn,,,,,,,,
mrdagger17,23,Evil,,,,,,,,
seanm105,23,Evil,,,,,,,,
Shananalovesdem,23,Uconn,,,,,,,,
Dunkersplatt,23,BC,,,,,,,,
St33n3r,23,BC,,,,,,,,
xcatieladyx,23,BC,,,,,,,,
Meyeravi,23,BC,,,,,,,,
Tran_1230,24,Evil,,,,,,,,
icedrake25,24,Uconn,,,,,,,,
Wolfzx99,24,Evil,,,,,,,,
belundun,24,Uconn,,,,,,,,
Shananalovesdem,24,Uconn,,,,,,,,
seanm105,24,Evil,,,,,,,,
Dunkersplatt,24,BC,,,,,,,,
ToaNuparu,24,Evil,,,,,,,,
YungSpesh,24,BC,,,,,,,,
St33n3r,24,BC,,,,,,,,
Shananalovesdem,25,Beast,,,,,,,,
Tran_1230,25,Best,,,,,,,,
brassline,25,BC,,,,,,,,
mikecherry,25,Beast,,,,,,,,
icedrake25,25,Uconn,,,,,,,,
Koi_Pond,25,Uconn,,,,,,,,
1ottsco,25,Beast,,,,,,,,
ToaNuparu,25,BC,,,,,,,,
St33n3r,25,BC,,,,,,,,
Dunkersplatt,25,BC,,,,,,,,
mrdagger17,25,Evil,,,,,,,,
belundun,25,Uconn,,,,,,,,
IntenseYogurt,25,Evil,,,,,,,,
seanm105,25,Evil,,,,,,,,
Wolfzx99,25,Evil,,,,,,,,
IntenseYogurt,26,Evil,,,,,,,,
Albertc5555,26,Cherry,,,,,,,,
YungSpesh,26,BC,,,,,,,,
mikecherry,26,Cherry,,,,,,,,
Dunkersplatt,26,BC,,,,,,,,
ToaNuparu,26,BC,,,,,,,,
1ottsco,26,Beast,,,,,,,,
mrdagger17,26,Evil,,,,,,,,
Overtray,26,Beast,,,,,,,,
Tran_1230,26,Evil,,,,,,,,
seanm105,26,Evil,,,,,,,,
XmasGoose,26,Beast,,,,,,,,
Dunkersplatt,27,BC,,,,,,,,
Koi_Pond,27,Uconn,,,,,,,,
YungSpesh,27,BC,,,,,,,,
ZenStryk,27,Uconn,,,,,,,,
XmasGoose,27,Beast,,,,,,,,
Tran_1230,27,Tran,,,,,,,,
seanm105,27,Evil,,,,,,,,
mikecherry,27,Beast,,,,,,,,
1ottsco,27,Beast,,,,,,,,
ToaNuparu,27,Evil,,,,,,,,
mrdagger17,27,Evil,,,,,,,,
Shananalovesdem,27,Uconn,,,,,,,,
belundun,27,Uconn,,,,,,,,
IntenseYogurt,28,Evil,,,,,,,,
YungSpesh,28,BC,,,,,,,,
seanm105,28,Evil,,,,,,,,
Dunkersplatt,28,BC,,,,,,,,
Wolfzx99,28,Evil,,,,,,,,
Tran_1230,28,BC,,,,,,,,
ToaNuparu,28,BC,,,,,,,,
XmasGoose,28,Cherry,,,,,,,,
mrdagger17,28,Evil,,,,,,,,
Albertc5555,28,Cherry,,,,,,,,
mikecherry,28,Cherry,,,,,,,,
meddi3,28,Cherry,,,,,,,,
icedrake25,28,Uconn,,,,,,,,
ZenStryk,28,Uconn,,,,,,,,
Koi_Pond,28,Uconn,,,,,,,,
belundun,28,Uconn,,,,,,,,
Shananalovesdem,28,Uconn,,,,,,,,
icedrake25,29,Uconn,,,,,,,,
mrdagger17,29,Evil,,,,,,,,
brassline,29,BC,,,,,,,,
belundun,29,Uconn,,,,,,,,
Meyeravi,29,BC,,,,,,,,
Shananalovesdem,29,Uconn,,,,,,,,
Dunkersplatt,29,BC,,,,,,,,
Koi_Pond,29,Uconn,,,,,,,,
ZenStryk,29,Uconn,,,,,,,,
YungSpesh,29,BC,,,,,,,,
St33n3r,29,BC,,,,,,,,
mikecherry,29,Cherry,,,,,,,,
meddi3,29,Cherry,,,,,,,,
1ottsco,29,Beast,,,,,,,,
Albertc5555,29,Cherry,,,,,,,,
XmasGoose,29,Beast,,,,,,,,
